"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","product_page_url","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Age","attribute_data:Age","attribute_default:Age","attribute:BarCode","attribute_data:BarCode","attribute_default:BarCode","attribute:Brand","attribute_data:Brand","attribute_default:Brand","attribute:pa_barcode","attribute_data:pa_barcode","attribute_default:pa_barcode"
"Cherry Picker","cherry-picker","8350","Cherry Picker","Help your young LEGO® builder understand the basics of gears, force and movement with this cool LEGO Technic™ 42088 Cherry Picker. This 2-in-1 model comes with realistic functions and features, including a detailed lifting mechanism with working boom and basket, 4 hazard warning lights, 2 warning beacons and chunky tires. Rebuild this 2-in-1 LEGO Technic set to create a robust Tow Truck.                                                                                                               Features a detailed lifting mechanism with working boom and basket, brick-built hazard warning lights and warning beacons, and working wheels with chunky tires.
 Drive the cherry picker into position, then operate the boom and raise the basket into the air.
 This LEGO® Technic™ set is designed to provide an immersive and rewarding building experience.
 Help your young LEGO® builder understand the basics of gears, force and movement with this realistic LEGO Technic™ set.
 This set is a great introduction to the LEGO® Technic™ system of building.
 2-in-1 model: rebuilds into a Tow Truck.
 Cherry Picker (with boom lowered) measures over 2 (7cm) high, 5 (14cm) long and 1 (5cm) wide, and more than 4 (12cm) high with boom extended.
 Tow Truck measures over 2 (7cm) high, 4 (12cm) long and 1 (5cm) wide.Building Instructions","publish","0","2020-02-12 06:40:11","1","open","42088","no","no","0","2500","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/cherry-picker/","https://www.toysdirect.co.ke/wp-content/uploads/products/42088/42088_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42088/42088_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42088/42088_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42088/42088_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42088/42088_alt5.jpg","","simple","","Age > 16 Years +|LEGO Technic","Lego|Technic","","16+","2|1|0","","5702016396294","1|0|0","","Cherry Picker","0|1|0","","","",""
"Power Boat","power-boat","8351","Power Boat","Thunder to the finish line with the aerodynamic 2-in1 LEGO® Technic™ 42089 Power Boat replica, featuring a sporty aerodynamic design, open cockpit with steering wheel and tinted windshield, and a red and black color scheme with racing stickers. Maneuver this robust powerboat model to activate the moving engine pistons and spinning propeller, and rebuild it to create a sleek Hydroplane for a double build-and-play experience!                                                                          Features a sporty aerodynamic design, open cockpit with steering wheel and tinted windshield, and a red and black color scheme with racing stickers.
 Maneuver the Power Boat to activate the moving piston engine and spinning propeller.
 Help your young LEGO® builder understand the basics of gears, force and movement with this realistic LEGO Technic™ set.
 This set is a great introduction to the LEGO® Technic™ system of building.
 Does not float.
 2-in-1 LEGO® Technic™ set: rebuilds into a model Hydroplane.
 Power Boat measures over 3 (10cm) high, 9 (23cm) long and 2 (7cm) wide.
 Hydroplane measures over 2 (7cm) high, 8 (21cm) long and 3 (10cm) wide.Building Instructions","publish","0","2020-02-12 06:40:11","1","open","42089","no","no","0","3800","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/power-boat/","https://www.toysdirect.co.ke/wp-content/uploads/products/42089/42089_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42089/42089_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42089/42089_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42089/42089_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42089/42089_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016369342","1|0|0","","Power Boat","0|1|0","","","",""
"Getaway Truck","getaway-truck","8352","Getaway Truck","Enjoy high-speed action with the LEGO® Technic™ 42090 Getaway Truck, featuring a rugged design with extra-wide rims and huge chunky tires, 2 large side-mounted exhaust pipes, heavy-duty front bumper and a red, black and gray color scheme with flame stickers for a distinct bad-guy look! This robust model truck is also equipped with a powerful pull-back motor. Combine it with the 42091 Police Pursuit pull-back for action-packed car chases, or to create the Ultimate 4x4 combi model. Features a powerful pull-back motor, extra-wide rims, huge chunky tires, 2 large side-mounted exhaust pipes and a heavy-duty front bumper.
Check out the red, black and gray color scheme with flame stickers for a distinct bad-guy look!
Bring on the 42091 Police Pursuit pull-back and let the chase begin!
Activate the pull-back motor to launch the super-rugged Getaway Truck.
This play vehicle will help budding LEGO® Technic™ builders develop their motor and creative skills.
Combine with the 42091 Police Pursuit pull-back to create the awesome Ultimate 4x4 combi model!
Getaway Truck measures over 2 (7cm) high, 7 (18cm) long and 3 (10cm) wide.
Ultimate 4x4 combi model measures over 3 (10cm) high, 9 (23cm) long and 3 (10cm) wide.Building Instructions","publish","0","2020-02-12 06:40:11","1","open","42090","no","no","21","4300","3990","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","5","","https://www.toysdirect.co.ke/product/getaway-truck/","https://www.toysdirect.co.ke/wp-content/uploads/products/42090/42090_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42090/42090_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42090/42090_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42090/42090_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42090/42090_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016369359","1|0|0","","Getaway Truck","0|1|0","","","",""
"Police Pursuit","police-pursuit","8353","Police Pursuit","Power up the pull-back motor and start a high-speed chase with the sturdy LEGO® Technic™ 42091 Police Pursuit vehicle! This police car toy features an awesome blue, white and black color scheme with cool police stickers, red and blue warning beacons, aerodynamic front bumper, large rear spoiler and wide black rims with low profile tires. Combine it with the 42090 Getaway Truck pull-back for action-packed car chases, or to create the Ultimate 4x4 combi model.                                       Features a powerful pull-back motor, red and blue warning beacons, aerodynamic front bumper, large rear spoiler and wide black rims with low profile tires.
 Check out the blue, white and black color scheme with cool police stickers.
 Bring on the 42090 Getaway Truck pull-back and let the chase begin!
 Activate the pull-back motor to experience the awesome power of this Police Pursuit vehicle.
 This play vehicle is ideal for budding LEGO® Technic™ builders, improving hand-eye coordination and sparking imaginative play.
 Combine with the 42090 Getaway Truck to create the awesome Ultimate 4x4 combi model!
 Police Pursuit model measures over 2 (6cm) high, 7 (20cm) long and 3 (10cm) wide.
 Ultimate 4x4 combi model measures over 3 (10cm) high, 9 (23cm) long and 3 (10cm) wide.Building Instructions","publish","0","2020-02-12 06:40:12","1","open","42091","no","no","0","4600","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/police-pursuit/","https://www.toysdirect.co.ke/wp-content/uploads/products/42091/42091_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42091/42091_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42091/42091_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42091/42091_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42091/42091_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016369366","1|0|0","","Police Pursuit","0|1|0","","","",""
"Rescue Helicopter","rescue-helicopter","8354","Rescue Helicopter","Call in the awesome 2-in-1 LEGO® Technic™ 42092 Rescue Helicopter, with an array of realistic features and functions including spinning rotors, opening side and rear doors, working winch and a rescue stretcher. This sturdy LEGO Technic helicopter for kids comes with an authentic red, white and black color scheme and can be rebuilt to create a futuristic Concept Plane for a double build-and-play experience!                                                                                            Features spinning rotors, opening side and rear doors, working winch and a rescue stretcher.
 Check out the cool red, white and black color scheme.
 Open the side doors and operate the winch to lower the rescue stretcher.
 This LEGO® Technic™ play helicopter model is designed to provide an immersive and rewarding building experience.
 This easy to build set is ideal for budding LEGO® Technic™ builders.
 LEGO® Technic™ sets feature realistic movement and mechanisms that introduce young LEGO builders to the universe of engineering in an approachable and realistic way.
 2-in-1 LEGO® Technic™ set: rebuilds into a Concept Plane.
 Rescue Helicopter measures over 4 (12cm) high, 11 (29cm) long and 9 (23cm) wide.
 Concept Plane measures over 2 (7cm) high, 10 (27cm) long and 11 (30cm) wide.Building Instructions","publish","0","2020-02-12 06:40:12","1","open","42092","no","no","0","7100","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/rescue-helicopter/","https://www.toysdirect.co.ke/wp-content/uploads/products/42092/42092_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42092/42092_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42092/42092_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42092/42092_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42092/42092_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016369571","1|0|0","","Rescue Helicopter","0|1|0","","","",""
"Chevrolet Corvette ZR1","chevrolet-corvette-zr1","8355","Chevrolet Corvette ZR1","Recreate engineering excellence with this LEGO® Technic™ 42093 Chevrolet Corvette ZR1. Developed in partnership with Corvette, this exclusive model really captures the essence of the iconic supercar and comes with an authentic orange and black color scheme, black spoked rims with low-profile tires, large rear wing and 4 tailpipes. This Chevrolet Corvette ZR1 replica also features working steering and a visible detailed V8 engine with moving pistons. Rebuild this awesome 2-in1 model to create a realistic Hot Rod replica.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Exclusive Chevrolet Corvette ZR1 replica model with a wealth of realistic features, including a large rear wing, 4 tailpipes, black spoked rims with low-profile tires, working steering and a detailed V8 engine with moving pistons.
 This collectible toy car comes with an authentic orange and black color scheme plus a cool sticker sheet for additional detailing.
 Operate the working steering and maneuver the vehicle to activate the visible V8 pistons.
 2-in-1 LEGO® Technic™ set: rebuilds into a Hot Rod.
 This LEGO® Technic™ model is designed to provide an immersive and rewarding building experience.
 LEGO® Technic™ sets feature realistic movement and mechanisms that introduce young LEGO builders to the universe of engineering in an approachable and realistic way.
 Suitable for ages 9+.
 Chevrolet Corvette measures over 3 (8cm) high, 11 (29cm) long and 4 (12cm) wide.
 Hot Rod measures over 3 (8cm) high, 9 (23cm) long and 4 (12cm) wide.Building Instructions","publish","0","2020-02-12 06:40:12","1","open","42093","no","no","7","9100","8320","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/chevrolet-corvette-zr1/","https://www.toysdirect.co.ke/wp-content/uploads/products/42093/42093_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42093/42093_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42093/42093_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42093/42093_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42093/42093_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016369588","1|0|0","","Chevrolet Corvette ZR1","0|1|0","","","",""
"Tracked Loader","tracked-loader","8356","Tracked Loader","Enjoy a rewarding build and play experience with the LEGO® Technic™ 42094 Tracked Loader. This realistic construction vehicle model comes with a unique combination of features and manual functions, plus a classic yellow and black color scheme with sticker detailing. You can rotate the cab through 360°, lift and lower the boom and operate the claw to grab the included tree trunk elements. Other features include a working 2-speed winch and rugged ground-gripping tracks. This 2-in-1 advanced building set also rebuilds into a rugged Tracked Dumper for a double build-and-play experience. Features a working boom and claw, 2-speed winch, rotatable cab and rugged ground-gripping tracks.
Comes with a classic yellow and black color scheme and a sticker sheet for additional detailing.
Open the cab doors and rotate it through 360°.
Lift and lower the boom and operate the claw to grab and move the included tree trunk elements.
This LEGO® Technic™ set is designed to provide an immersive and rewarding building experience.
Discover the building blocks of real-life mechanical machines with realistic LEGO® Technic™ gear mechanisms.
2-in-1 model: rebuilds into a Tracked Dumper.
Tracked Loader measures over 6 (17cm) high, 13 (35cm) long and 5 (15cm) wide.
Tracked Dumper measures over 5 (14cm) high, 9 (25cm) long and 5 (13cm) wide.Building Instructions","publish","0","2020-02-12 06:40:32","1","open","42094","no","no","10","18400","16800","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","3","","https://www.toysdirect.co.ke/product/tracked-loader/","https://www.toysdirect.co.ke/wp-content/uploads/products/42094/42094_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42094/42094_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42094/42094_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42094/42094_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42094/42094_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016368055","1|0|0","","Tracked Loader","0|1|0","","","",""
"Remote-Controlled Stunt Racer","remote-controlled-stunt-racer","8357","Remote-Controlled Stunt Racer","Pull high-speed wheelies, spins and turns, and traverse rough terrain with this fully motorized LEGO® Technic™ 42095 Remote-Controlled Stunt Racer. This tough model features large ground-gripping tracks with large rear sprockets for optimal acceleration, plus a modern design with a fresh yellow and blue color scheme and decorative stickers. Drive forward, backward, left or right and make 360° turns. Rebuild this 2-in-1 remote-controlled tracked vehicle to create a Remote-Controlled Racer for a double build-and-play experience. Features a high-speed, fully motorized, remote-controlled vehicle with tracks and large rear sprockets for amazing acceleration.
Check out the fresh yellow and blue color scheme with cool stickers.
Traverse rough terrain and obstacles, drive forward, backward, left and right, perform 360° turns and pull awesome wheelies at high speed.
Includes the following LEGO® Power Functions components: 2 large motors, receiver, battery box and a remote control.
This LEGO® Technic™ set is designed to provide an immersive and rewarding building experience, and features realistic movement and mechanisms, helping young builders enhance their motor skills, hand-eye coordination and imagination.
This 2-in-1 motorized toy rebuilds into a Remote-Controlled Racer.
Remote-Controlled Stunt Racer measures over 6 (17cm) high, 8 (22cm) long and 5 (15cm) wide.
Remote-Controlled Racer measures over 4 (12cm) high, 7 (20cm) long and 7 (19cm) wide.Building Instructions","publish","0","2020-02-12 06:40:32","1","open","42095","no","no","35","18500","16850","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","3","","https://www.toysdirect.co.ke/product/remote-controlled-stunt-racer/","https://www.toysdirect.co.ke/wp-content/uploads/products/42095/42095_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42095/42095_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42095/42095_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42095/42095_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42095/42095_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016368062","1|0|0","","Remote-Controlled Stunt Racer","0|1|0","","","",""
"Hook Loader","hook-loader","8358","Hook Loader","Enjoy a rewarding build-and-play experience with the 2-in-1 LEGO® Technic 42084 Hook Loader truck toy. This authentic replica of a real-life hook loader, features a driver’s cab, heavy-duty tires, large warning light, working steering and hook loading functionality. Turn the crank to lift and lower the cargo container to and from the truck chassis. Rebuild this advanced building set to create an Airport Fire Truck.                                                                                   Features working steering and hook loading functionality, driver’s cab, warning light, heavy-duty tires and a cargo container.
 Check out the red, gray and black color scheme.
 Activate the hook loading function to lift and lower the container.
 This LEGO® Technic advanced building set is designed to provide an immersive and rewarding building experience.
 Designed for indoor use only.
 2-in-1 model: rebuilds into an Airport Fire Truck.
 Suitable for ages 7-14.
 Hook Loader measures over 3 (8cm) high, 5 (14cm) long and 2 (7cm) wide.
 Airport Fire Truck measures over 3 (8cm) high, 6 (16cm) long and 2 (7cm) wide.Building Instructions","publish","0","2020-02-12 06:40:32","1","open","42084","no","no","0","0","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/hook-loader/","https://www.toysdirect.co.ke/wp-content/uploads/products/42084/42084_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42084/42084_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42084/42084_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42084/42084_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42084/42084_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 8 Years +|LEGO Technic","Lego|Technic","","8+","2|1|0","","5702016093988","1|0|0","","Hook Loader","0|1|0","","","",""
"Dozer Compactor","dozer-compactor","8359","Dozer Compactor","Capture the awesome power of a real-life dozer compactor with this 2-in-1 LEGO® Technic 42071 Dozer Compacter replica model, featuring a host of realistic functions and details, including a driver’s cab, working blade and steering, and realistic hard compactor wheels. This advanced building set comes with a fresh blue, gray, black and orange color scheme with stickers for additional detailing. Rebuild to create an Articulated Truck for a double build-and-play experience.                          Features a driver’s cab, working blade and steering, and hard compactor wheels.
 Check out the awesome blue, gray, black and orange color scheme.
 Also includes a set of stickers for additional detailing.
 Steer the Dozer Compactor into position, lower the huge blade and get ready for an awesome display of power!
 This LEGO® Technic advanced building set is designed to provide an immersive and rewarding building experience.
 2-in-1 model: rebuilds into an Articulated Truck.
 Suitable for ages 8-14.
 Dozer Compactor measures over 3 (10cm) high, 7 (19cm) long and 4 (11cm) wide.
 Articulated Truck measures over 3 (8cm) high, 7 (20cm) long and 3 (9cm) wide.Building Instructions","publish","0","2020-02-12 06:40:32","1","open","42071","no","no","0","4300","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/dozer-compactor/","https://www.toysdirect.co.ke/wp-content/uploads/products/42071/42071_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42071/42071_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42071/42071_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42071/42071_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42071/42071_alt5.jpg","","simple","","Age > 8 Years +|LEGO Technic","Lego|Technic","","8+","2|1|0","","5702016093247","1|0|0","","Dozer Compactor","0|1|0","","","",""
"Rally Car","rally-car","8360","Rally Car","Discover awesome detail and design with this amazing 2-in-1 LEGO® Technic 42077 Rally Car model, featuring sporty blue, white, red and black bodywork with racing stickers, large rear spoiler, 4 spot lamps and 6-spoke red rims with low-profile tires. This advanced builder set also features a detailed cockpit with racing seats and roll cage, 2-fan engine cooling system, opening hood and rear hatch, and a V6 engine with moving pistons. Rebuild the Rally Car to create a Buggy for a double build and play experience.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Features working steering and suspension, large rear spoiler, 6-spoke red rims with low-profile tires, detailed grill, opening hood, 2-fan engine cooling system, opening rear hatch, V6 engine with moving pistons and a well-equipped cockpit with opening doors, racing seats and roll cage.
 Check out the sporty blue, white, red and black bodywork with rally stickers.
 Open the doors to access the detailed cockpit with racing seats and roll cage.
 Check out the tough suspension and working steering.
 This LEGO® Technic advanced building set is designed to provide an immersive and rewarding building experience.
 This set includes over 1,000 pieces.
 2-in-1 model: rebuilds into a Buggy.
 Building instructions for the Buggy are available at LEGO.com/technic.
 Suitable for ages 10-16.
 Rally Car measures over 9 (24cm) high, 16 (42cm) long and 8 (21cm) wide.
 Buggy measures over 6 (16cm) high, 14 (36cm) long and 8 (22cm) wide.Building Instructions","publish","0","2020-02-12 06:40:33","1","open","42077","no","no","0","0","","","","","","","visible","outofstock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/rally-car/","https://www.toysdirect.co.ke/wp-content/uploads/products/42077/42077_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42077/42077_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42077/42077_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42077/42077_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42077/42077_alt5.jpg","","simple","exclude-from-catalog|exclude-from-search|outofstock","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016116915","1|0|0","","Rally Car","0|1|0","","","",""
"Volvo Concept Wheel Loader ZEUX","volvo-concept-wheel-loader-zeux","8361","Volvo Concept Wheel Loader ZEUX","Explore the future of construction vehicles with the LEGO® Technic™ 42081 Volvo Concept Wheel Loader ZEUX. Developed in collaboration with Volvo, this futuristic concept model comes with an array of realistic details, including a buildable mapping drone. The vehicles design is high tech, right down to the futuristic rims wrapped with large heavy‑duty tires. Manual functions include 4-wheel steering, simultaneous or independent boom and bucket operation, and an adjustable counterbalance. This 2-in-1 LEGO Technic set comes with a classic Volvo color scheme and a set of stickers for additional detailing, and rebuilds into a futuristic Volvo Concept Hauler PEGAX.                                                                                                                                                                                                                                                                                                                                             Futuristic concept model with realistic details, including a mapping drone, working boom and bucket, adjustable counterbalance, 4-wheel steering and elaborate rims with heavy-duty tires.
 Discover the futuristic LEGO® Technic™ Volvo Concept Wheel Loader ZEUX!
 Adjust the counterbalance to offset the load.
 Operate the huge boom and bucket independently or simultaneously.
 Comes with a classic Volvo color scheme and stickers for additional detailing.
 This LEGO® Technic™ set is designed to provide an immersive and rewarding building experience.
 2-in-1 model: rebuilds into a futuristic Volvo Concept Hauler PEGAX.
 Volvo Concept Wheel Loader ZEUX measures over 7 (18cm) high, 23 (59cm) long and 8 (21cm) wide with counterbalance extended, and over 20 (51cm) long with counterbalance retracted.
 Volvo Concept Hauler PEGAX measures over 7 (18cm) high, 15 (40cm) long and 8 (22cm) wide with counterbalance extended, and over 10 (27cm) long with counterbalance retracted.Building Instructions","publish","0","2020-02-12 06:40:33","1","open","42081","no","no","3","44000","40000","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/volvo-concept-wheel-loader-zeux/","https://www.toysdirect.co.ke/wp-content/uploads/products/42081/42081_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42081/42081_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42081/42081_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42081/42081_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42081/42081_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016116953","1|0|0","","Volvo Concept Wheel Loader ZEUX","0|1|0","","","",""
"Rough Terrain Crane","rough-terrain-crane","8362","Rough Terrain Crane","Enjoy an immense build and play experience with the LEGO® Technic™ 42082 Rough Terrain Crane, our largest and tallest LEGO Technic crane to date, pre-August 2018. Activate the Power Functions and select upper or lower crane mode for complete control over an array of easy‑to‑operate, motorized functions. Lower the stabilizer legs, rotate the superstructure through 360°, operate the lifting winch or send the extendable boom a meter into the air. Manual functions include 4-wheel steering, 4-wheel drive, detailed V8 engine with moving pistons and fan, and adjustable wing mirrors, plus a detailed operator’s cab with an opening door. This amazing model also includes 2 opening compartments with tools, chains and a fire extinguisher, plus 4 outrigger landing plates and 4 LEGO Technic building sections that can be lifted and assembled. This 2‑in‑1 LEGO Technic set comes with a red and black color scheme and can be rebuilt to create a Mobile Pile Driver.                                           Features a LEGO® Power Functions large motor for controlling the cranes upper and lower functions.
 Select upper and lower crane mode for complete control over an array of easy-to-operate, motorized functions. Lower the stabilizer legs, rotate the superstructure through 360°, operate the lifting winch or send the extendable boom a meter into the air!
 Manual functions include 4-wheel steering, 4-wheel drive, detailed V8 engine with moving pistons and fan, adjustable wing mirrors and an opening cab door.
 Hook up the included LEGO® Technic building sections and put your LEGO crane operator skills to the test!
 Open the door to access the detailed operator’s cab.
 Open the storage compartments to access the chains, tools and fire extinguisher.
 Comes with a red and black color scheme.
 This LEGO® Technic™ Set is designed to provide an immersive and rewarding building experience.
 The largest and tallest LEGO® Technic™ crane to date—pre-August 2018—with more than 4,050 pieces.
 2-in-1 LEGO® Technic™ Set: rebuilds into a Mobile Pile Driver.
 Rough Terrain Crane measures over 39 (100cm) high, 25 (66cm) long and 10 (26cm) wide in working position, and over 10 (27cm) high, 29 (76cm) long and 7 (20cm) wide in driving position.
 Mobile Pile Driver measures over 9 (24cm) high, 19 (50cm) long and 7 (20cm) wide in driving position.Building Instructions","publish","0","2020-02-12 06:40:33","1","open","42082","no","no","10","56000","50930","","","","","","visible","instock","no","yes","taxable","","","no","","","0","0","","","no","","","https://www.toysdirect.co.ke/product/rough-terrain-crane/","https://www.toysdirect.co.ke/wp-content/uploads/products/42082/42082_alt1.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42082/42082_alt2.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42082/42082_alt3.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42082/42082_alt4.jpg | https://www.toysdirect.co.ke/wp-content/uploads/products/42082/42082_alt5.jpg","","simple","","Age > 7 Years +|LEGO Technic","Lego|Technic","","7+","2|1|0","","5702016116960","1|0|0","","Rough Terrain Crane","0|1|0","","","",""
